pesq_wb,stoi,si_sdr,system,condition
3.558889389038086,0.9258523486979261,-2.5841317176818848,dac_baseline,noisy
3.5589234828948975,0.9258523587077407,-2.5842514038085938,dac_postfilter,noisy
4.013370037078857,0.9573318840437045,-17.03384780883789,dac_baseline,noisy
4.013358116149902,0.9573313055954824,-17.034210205078125,dac_postfilter,noisy
3.8168647289276123,0.9432862610466736,-26.593320846557617,dac_baseline,noisy
3.8168702125549316,0.9432865204472366,-26.594135284423828,dac_postfilter,noisy
3.8886353969573975,0.9365411296572304,-16.776119232177734,dac_baseline,noisy
3.8886399269104004,0.9365404276934043,-16.77646255493164,dac_postfilter,noisy
3.8002705574035645,0.9354942261609255,-13.612991333007812,dac_baseline,noisy
3.800276279449463,0.935499593196066,-13.612464904785156,dac_postfilter,noisy
4.007137298583984,0.9653671762399302,-18.381149291992188,dac_baseline,noisy
4.007132053375244,0.9653668759021526,-18.381275177001953,dac_postfilter,noisy
3.4762332439422607,0.8791099781104917,-11.796390533447266,dac_baseline,noisy
3.476663589477539,0.8790995668354521,-11.796075820922852,dac_postfilter,noisy
4.114602088928223,0.9211333140572425,-8.646039009094238,dac_baseline,noisy
4.1146063804626465,0.9211392473052402,-8.645885467529297,dac_postfilter,noisy
4.010924339294434,0.8800250754492834,-5.45134973526001,dac_baseline,noisy
4.010908603668213,0.8800248163571918,-5.45114278793335,dac_postfilter,noisy
4.108528137207031,0.906498120828341,-7.851311683654785,dac_baseline,noisy
4.108520030975342,0.9064964509223903,-7.851020812988281,dac_postfilter,noisy
3.949904680252075,0.9535778695439556,-19.812604904174805,dac_baseline,noisy
3.9499056339263916,0.9535779163287316,-19.812376022338867,dac_postfilter,noisy
3.9186923503875732,0.9582304337053122,-16.610815048217773,dac_baseline,noisy
3.91870379447937,0.9582309727419497,-16.610395431518555,dac_postfilter,noisy
3.337533712387085,0.9479995624045998,-21.186965942382812,dac_baseline,noisy
3.337534189224243,0.9480001967059496,-21.18756866455078,dac_postfilter,noisy
3.6172449588775635,0.9578214488209562,-26.21798324584961,dac_baseline,noisy
3.617243766784668,0.9578220595198131,-26.216873168945312,dac_postfilter,noisy
3.6533663272857666,0.9598058704114837,-12.022781372070312,dac_baseline,noisy
3.6533665657043457,0.9598059834053856,-12.022476196289062,dac_postfilter,noisy
4.04272985458374,0.830403368789771,-8.924290657043457,dac_baseline,noisy
4.042732238769531,0.8304062758546195,-8.924375534057617,dac_postfilter,noisy
3.992677688598633,0.890638971803304,-5.393391132354736,dac_baseline,noisy
3.992671012878418,0.8906391200929631,-5.39303731918335,dac_postfilter,noisy
4.030967712402344,0.8871612374020247,-7.303567886352539,dac_baseline,noisy
4.030972480773926,0.887161628067208,-7.303336143493652,dac_postfilter,noisy
4.147053241729736,0.8787034012176169,-16.51527214050293,dac_baseline,noisy
4.1470513343811035,0.8787030782930829,-16.515365600585938,dac_postfilter,noisy
